method,noisy_snr,enhanced_snr,snr_improvement,mae,mse,rmse,pesq,stoi
frequency_masking,8.394864823943077,12.617926785977373,4.223061962034296,0.01304792685268076,0.0005252422259712775,0.018703726268632884,2.2328467843602007,0.9190647618980139
noisy_input,8.394864823943077,8.394864823943077,0.0,0.02373264235352817,0.0013199377996535933,0.030314951624398994,1.967330538532109,0.9210630438002336
spectral_subtraction,8.394864823943077,13.839932611583636,5.445067787640558,0.010805638810762123,0.00034957244572546433,0.015594273179562261,2.2942080458680403,0.9116590398681732
wavelet_denoise,8.394864823943077,8.615161019558805,0.22029619561572716,0.02301036595062859,0.0012387351775633027,0.029432629497256217,2.09381779319453,0.9154325002981936
