file,method,params,noisy_snr,enhanced_snr,snr_improvement,mae,mse,rmse,pesq,stoi
p232_001.wav,noisy_input,{},15.47964769813364,15.47964769813364,0.0,0.01157425343990326,0.0002314635639777407,0.015213926645601415,2.9246838092803955,0.8965751566212057
p232_001.wav,spectral_subtraction,"{""alpha"": 2.0, ""beta"": 0.02, ""noise_frames"": 6}",15.47964769813364,19.94725099520554,4.4676032970719,0.006540538743138313,8.274129504570737e-05,0.009096224219186077,3.2329702377319336,0.8992335219977726
p232_001.wav,wavelet_denoise,"{""mode"": ""soft"", ""threshold_scale"": 1.0, ""wavelet"": ""db4""}",15.47964769813364,15.498357987692067,0.018710289558427462,0.011558386497199535,0.0002304685185663402,0.015181189629483593,3.2401187419891357,0.903344331224045
p232_001.wav,frequency_masking,"{""mask_floor"": 0.05, ""noise_frames"": 6, ""threshold"": 2.0}",15.47964769813364,21.64705625025464,6.167408552121,0.0053688655607402325,5.594248796114698e-05,0.007479471101698768,2.9623653888702393,0.899028799389451
p232_002.wav,noisy_input,{},11.319264844878232,11.319264844878232,0.0,0.018814580515027046,0.000600089377257973,0.02449672176553371,3.058913230895996,0.9695388685959673
p232_002.wav,spectral_subtraction,"{""alpha"": 2.0, ""beta"": 0.02, ""noise_frames"": 6}",11.319264844878232,15.78343139738765,4.464166552509418,0.010432574898004532,0.0002146838087355718,0.014652092298902972,3.2644758224487305,0.9660003405927036
p232_002.wav,wavelet_denoise,"{""mode"": ""soft"", ""threshold_scale"": 1.0, ""wavelet"": ""db4""}",11.319264844878232,11.339486380302453,0.02022153542422167,0.018777664750814438,0.0005973017541691661,0.024439757653650456,2.991283893585205,0.9658222153195062
p232_002.wav,frequency_masking,"{""mask_floor"": 0.05, ""noise_frames"": 6, ""threshold"": 2.0}",11.319264844878232,12.768942227468767,1.4496773825905347,0.014597106724977493,0.0004297819687053561,0.02073118348540083,3.277261972427368,0.9678528363426964
p232_003.wav,noisy_input,{},6.7272916138631045,6.7272916138631045,0.0,0.025891117751598358,0.001052745385095477,0.03244603804928234,2.80773663520813,0.9717256221934897
p232_003.wav,spectral_subtraction,"{""alpha"": 2.0, ""beta"": 0.02, ""noise_frames"": 6}",6.7272916138631045,15.812726619456331,9.085435005593226,0.008205689489841461,0.0001299510768149048,0.01139960862551451,3.164452075958252,0.9663195519993305
p232_003.wav,wavelet_denoise,"{""mode"": ""soft"", ""threshold_scale"": 1.0, ""wavelet"": ""db4""}",6.7272916138631045,6.746175738220689,0.018884124357584575,0.025828730314970016,0.0010481778299435973,0.03237557458862464,2.950929880142212,0.9729967553525326
p232_003.wav,frequency_masking,"{""mask_floor"": 0.05, ""noise_frames"": 6, ""threshold"": 2.0}",6.7272916138631045,19.36104161708752,12.633750003224414,0.005454964470118284,5.740482083638199e-05,0.00757659691658346,3.0989089012145996,0.9719066555548336
p232_005.wav,noisy_input,{},1.8216674543482727,1.8216674543482727,0.0,0.04962778091430664,0.004313364624977112,0.065676210494951,1.3278971910476685,0.8819830679935514
p232_005.wav,spectral_subtraction,"{""alpha"": 2.0, ""beta"": 0.02, ""noise_frames"": 6}",1.8216674543482727,5.733352732984195,3.9116852786359226,0.02978508733212948,0.001752458163537085,0.04186237169030303,1.4888302087783813,0.8641646813186434
p232_005.wav,wavelet_denoise,"{""mode"": ""soft"", ""threshold_scale"": 1.0, ""wavelet"": ""db4""}",1.8216674543482727,2.0264974497608614,0.20482999541258873,0.04839811474084854,0.004114652518182993,0.06414555727548864,1.4890968799591064,0.8858500467186925
p232_005.wav,frequency_masking,"{""mask_floor"": 0.05, ""noise_frames"": 6, ""threshold"": 2.0}",1.8216674543482727,4.00796154942772,2.1862940950794476,0.034738391637802124,0.002607274567708373,0.051061478314952585,1.5223498344421387,0.8783649996699227
p232_006.wav,noisy_input,{},16.763328040386778,16.763328040386778,0.0,0.0067056454718112946,8.700375474290922e-05,0.009327580326264106,2.19832706451416,0.9650807879117461
p232_006.wav,spectral_subtraction,"{""alpha"": 2.0, ""beta"": 0.02, ""noise_frames"": 6}",16.763328040386778,15.893081651686776,-0.8702463887000018,0.007277155760675669,0.00010630718315951526,0.010310537481601784,2.25540828704834,0.954388747211768
